what,kind,bundleId,bundleVersion,description,time
error,log,,,"Provisioning exception",1456130915407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456130915538
error,log,,,"Provisioning exception",1456130918991
error,log,,,"Some sites could not be found.  See the error log for more detail.",1456130918993
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1456130935795
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1456130935815
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1456130935973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456130950671
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1456130950682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456130964154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456130973219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456131039771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131041378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131046078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131052399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131052572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131053662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131064651
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456131069482
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456131085851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456131090778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131093110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131095056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131100429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131100659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131101597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131118678
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456131123643
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1456131131462
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1456131131475
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1456131131538
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1456131132166
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1456131132242
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456131132921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456131144090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131171476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131177184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131181324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456131199884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131227888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131231438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456131251735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131257613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131257813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131258805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131278256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1456131319475
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1456131321680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131324572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131355183
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456131355645
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456131355713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456131363464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1456131411468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131414032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131462047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131464367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131468834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456131471145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131504985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131643383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131695830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131701493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131746234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131800038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131822097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131830645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131834078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131906103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456131912234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131934495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1456131987395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456131989703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132013088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132060095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456132062780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456132075198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132105106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132169007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456132174857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456132177276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132179330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132181384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132187298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132187443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132188746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132226751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132230292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132233053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456132250947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132261539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132298574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456132325594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132339011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132339180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132339985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132397728
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456132399990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132412829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132417805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132420239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132534200
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456132537242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132547505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456132560468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456132565897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132571920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132572078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132572845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132605566
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456132607652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132621382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132621982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132623270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132623758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132628768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132684007
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456132690450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456132701511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456132719061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132725988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132726217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132726963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132750034
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456132751807
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456132761427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456132782837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456132799789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132808396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132808621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132809418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132836702
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456132837909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132846879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132855256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132856457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132859889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132862167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132881183
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456132884849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456132896471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132900683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132901198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132901494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132901681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132902118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132902383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132902649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132902914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132903366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132903834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456132905847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456132908826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132913850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132914047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132914847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132929890
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456132932136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132949671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132950435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132954507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132954585
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456132959249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456132964943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456132976238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132981277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132981463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456132982320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456133003521
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456133004990
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456133026969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1456133081292
